mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
1.307149052619934,0.020714640617370605,0.031295061111450195,0.010123729705810547,51822.299791690704,OrderedDict({'alpha': 51822.299791690704}),-0.0778006420157377,-0.07812797164093749,-0.0779643068283376,0.00016366481259989102,19
1.3635538816452026,0.011585354804992676,0.03933286666870117,0.006130695343017578,7.174027102745688e-05,OrderedDict({'alpha': 7.174027102745688e-05}),-0.00391354402543247,-0.0041671641738425,-0.004040354099637485,0.00012681007420501517,6
1.9731566905975342,0.013545036315917969,0.05456435680389404,0.01827561855316162,0.2512588565868916,OrderedDict({'alpha': 0.2512588565868916}),-0.007815418277071084,-0.007772469638779808,-0.007793943957925447,2.1474319145637927e-05,12
2.0637505054473877,0.03129887580871582,0.0834052562713623,0.0055387020111083984,0.00029930257832896153,OrderedDict({'alpha': 0.00029930257832896153}),-0.003784534081919537,-0.004013838820789727,-0.003899186451354632,0.00011465236943509474,5
1.270046353340149,0.03499805927276611,0.03973209857940674,0.00467073917388916,170.9694306265614,OrderedDict({'alpha': 170.9694306265614}),-0.07706254202967505,-0.07738981377667942,-0.07722617790317723,0.00016363587350218256,16
1.72562575340271,0.010282278060913086,0.05376791954040527,0.012791633605957031,15.560898769534802,OrderedDict({'alpha': 15.560898769534802}),-0.07024246386807566,-0.070563727998247,-0.07040309593316132,0.0001606320650856738,14
1.743926763534546,0.019273042678833008,0.05545055866241455,0.018994927406311035,15913.079804131308,OrderedDict({'alpha': 15913.079804131308}),-0.07779508726660284,-0.07812241688696334,-0.07795875207678309,0.00016366481018025014,18
1.5958280563354492,0.042095184326171875,0.06466817855834961,0.018169403076171875,15277.347466633451,OrderedDict({'alpha': 15277.347466633451}),-0.07779475370548623,-0.07812208332534828,-0.07795841851541727,0.0001636648099310259,17
1.6100845336914062,0.014439821243286133,0.051793813705444336,0.0025479793548583984,1.5782168258928019e-06,OrderedDict({'alpha': 1.5782168258928019e-06}),-0.004108816984105623,-0.0043897953452559195,-0.004249306164680771,0.0001404891805751483,9
0.9729756116867065,0.014181733131408691,0.025551676750183105,0.0052787065505981445,31.911976300009695,OrderedDict({'alpha': 31.911976300009695}),-0.07396260889099943,-0.07428837605521867,-0.07412549247310904,0.00016288358210962,15
1.5075324773788452,0.028234362602233887,0.04364013671875,0.013129711151123047,0.014670964358137483,OrderedDict({'alpha': 0.014670964358137483}),-0.0038014073987921544,-0.003977880802004864,-0.003889644100398509,8.823670160635483e-05,4
1.464910864830017,0.024651646614074707,0.03783845901489258,0.007216691970825195,7.930469299550318e-06,OrderedDict({'alpha': 7.930469299550318e-06}),-0.004064953849572909,-0.004343553228648085,-0.004204253539110497,0.0001392996895375879,8
1.6225183010101318,0.009254217147827148,0.03153586387634277,0.006875514984130859,0.06042681078488747,OrderedDict({'alpha': 0.06042681078488747}),-0.004247548199113391,-0.0043423071369870486,-0.00429492766805022,4.7379468936828775e-05,11
1.634125828742981,0.036664366722106934,0.048349618911743164,0.00044536590576171875,0.0020800312186832317,OrderedDict({'alpha': 0.0020800312186832317}),-0.003677332655838332,-0.0038884454604641364,-0.003782889058151234,0.0001055564023129021,1
0.8690292835235596,0.01239013671875,0.022745966911315918,0.002270340919494629,997740.9118793346,OrderedDict({'alpha': 997740.9118793346}),-0.0778029759233463,-0.07813030554863108,-0.07796664073598869,0.00016366481264239174,20
1.4499032497406006,0.0018489360809326172,0.033678412437438965,0.00782620906829834,1e-06,OrderedDict({'alpha': 1e-06}),-0.004114048310859595,-0.00439510172039728,-0.004254575015628438,0.00014052670476884244,10
1.4784656763076782,0.009218096733093262,0.04070436954498291,0.004051089286804199,2.382444484787504e-05,OrderedDict({'alpha': 2.382444484787504e-05}),-0.004002371023553395,-0.004272737993864626,-0.0041375545087090106,0.00013518348515561586,7
1.4548988342285156,0.07645058631896973,0.0504298210144043,0.015013456344604492,0.005396762115437657,OrderedDict({'alpha': 0.005396762115437657}),-0.0037015772090699724,-0.0039016705659392303,-0.0038016238875046016,0.00010004667843462891,2
1.4264130592346191,0.018362998962402344,0.05169880390167236,0.0004652738571166992,0.9213448827879545,OrderedDict({'alpha': 0.9213448827879545}),-0.023741391377708407,-0.023775459229394245,-0.023758425303551326,1.7033925842919323e-05,13
0.8884967565536499,0.03517115116119385,0.024170994758605957,0.006403088569641113,0.0007596951202001812,OrderedDict({'alpha': 0.0007596951202001812}),-0.0037156574581492354,-0.0039344476728690875,-0.0038250525655091614,0.00010939510735992605,3
